step,liquidatorOrders,liquidations,liquidatedPositionNotional,stepLiquidatorRewardsPaid,stepLiquidationPenaltyCollected,stepMarginReturnedFromLiquidation,stepInsuranceFundOutflow,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,insuranceFundOutflow
248,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
249,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
250,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
251,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
252,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
253,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
254,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
255,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
256,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
257,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
258,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
259,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,3993.988021
260,1,1,3111.0,0.0,0.0,0.0,249.270784,1072.992,2011.86,0.0,4243.258805
261,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
262,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
263,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
264,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
265,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
266,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
267,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
268,0,0,0.0,0.0,0.0,0.0,0.0,1072.992,2011.86,0.0,4243.258805
