step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,liquidations,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
100,2034.46,2214791.387976,400000.317535,999989.987133,0.0,0.162107,6,44,21,12,73,37,26,1,16.216,14.30,1.143,6.17,4.80,3.21,0
101,2034.10,2208147.047489,400000.377952,999989.889085,0.0,0.163532,6,38,20,13,74,35,25,1,17.143,14.38,1.143,6.01,5.76,3.98,0
102,2031.35,2201522.661691,400000.299316,999989.775686,0.0,0.164948,6,44,21,13,73,23,16,0,26.087,14.18,1.143,7.55,4.54,3.49,0
103,2027.51,2194918.137002,400000.299032,999989.708373,0.0,0.166345,6,41,21,11,72,29,21,1,20.690,14.40,1.143,6.61,5.31,4.24,0
104,2026.32,2188333.413684,400000.157707,999989.613955,0.0,0.167733,6,40,20,14,73,34,24,1,17.647,14.24,1.143,6.77,5.29,3.76,0
105,2024.56,2181768.435122,400000.20658,999989.582742,0.0,0.169068,4,40,20,14,73,30,21,1,13.333,14.37,1.143,7.39,4.86,4.42,0
106,2023.81,2175223.188032,400000.147621,999989.480272,0.0,0.170478,5,39,20,15,72,29,21,1,17.241,14.60,1.143,6.87,6.56,2.89,0
107,2021.86,2168697.557214,400000.155852,999989.337127,0.0,0.171825,6,40,20,13,70,22,16,0,27.273,14.69,1.143,6.07,5.39,2.70,0
108,2024.39,2162191.495787,400000.091348,999989.249838,0.0,0.173181,5,39,21,16,69,22,16,0,22.727,14.72,1.143,7.43,4.44,3.31,0
109,2023.05,2155704.945231,400000.150962,999989.155921,0.0,0.174517,4,43,20,13,68,20,14,0,20.000,14.41,1.143,7.85,5.59,3.48,0
110,2026.84,2149237.867822,400000.115038,999989.080018,0.0,0.175863,6,41,21,12,69,31,22,1,19.355,14.53,1.143,6.71,5.27,3.97,0
111,2029.41,2142790.202736,400000.023277,999988.989851,0.0,0.177242,5,38,21,14,69,24,17,0,20.833,14.59,1.143,7.49,7.03,2.87,0
112,2030.09,2136361.858559,400000.055223,999988.916937,0.0,0.178574,6,43,20,14,69,29,21,1,20.690,14.75,1.143,7.59,7.22,3.11,0
113,2031.09,2129952.797816,400000.013033,999988.832193,0.0,0.179876,5,40,20,15,70,31,22,1,16.129,14.85,1.143,6.02,6.75,3.19,0
114,2028.39,2123562.975571,399999.908831,999988.743936,0.0,0.181254,5,46,21,12,70,24,17,0,20.833,14.83,1.143,7.40,5.84,4.61,0
115,2024.60,2117192.305018,399999.948756,999988.664281,0.0,0.182563,7,43,21,16,71,32,23,1,21.875,14.89,1.143,7.88,5.59,4.55,0
116,2028.57,2110840.753332,399999.794224,999988.518122,0.0,0.183889,6,44,21,15,72,36,26,1,16.667,14.85,1.143,7.82,5.02,3.52,0
117,2024.69,2104508.274999,399999.660459,999988.346121,0.0,0.185248,6,41,21,14,73,35,25,1,17.143,14.70,1.143,7.69,5.91,2.75,0
118,2025.97,2098194.780203,399999.720988,999988.258603,0.0,0.186538,5,45,20,14,73,31,22,1,16.129,14.62,1.143,6.84,7.25,3.44,0
119,2029.71,2091900.238406,399999.665367,999988.1954,0.0,0.18786,6,42,21,14,74,34,24,1,17.647,14.50,1.143,6.16,4.53,4.15,0
120,2031.68,2085624.562735,399999.533579,999988.041391,0.0,0.189164,6,45,20,13,73,24,17,0,25.000,14.63,1.143,6.66,6.30,2.94,0
121,2030.51,2079367.713373,399999.522952,999987.891345,0.0,0.190463,6,45,20,11,73,33,24,1,18.182,14.74,1.143,7.90,5.16,3.02,0
122,2027.26,2073129.625759,399999.644777,999987.803211,0.0,0.191736,5,42,21,14,75,37,26,1,13.514,14.80,1.143,6.64,5.96,2.90,0
123,2028.14,2066910.274997,399999.471068,999987.678405,0.0,0.193028,6,41,20,14,74,29,21,1,20.690,14.70,1.143,7.09,4.30,3.99,0
124,2027.15,2060709.571519,399999.422023,999987.590567,0.0,0.194348,5,38,20,12,73,26,19,0,19.231,14.68,1.143,7.72,6.78,4.53,0
125,2023.10,2054527.473727,399999.386339,999987.506588,0.0,0.195642,4,39,21,14,73,33,24,1,12.121,14.39,1.143,7.98,6.68,3.25,0
126,2024.24,2048363.907731,399999.412255,999987.433489,0.0,0.1969,5,41,20,13,74,34,24,1,14.706,14.44,1.143,6.89,5.87,3.81,0
127,2024.93,2042218.837753,399999.354154,999987.37244,0.0,0.198172,5,43,20,13,74,30,21,1,16.667,14.63,1.143,7.65,6.67,3.08,0
128,2021.46,2036092.224966,399999.353371,999987.310534,0.0,0.199463,6,46,21,14,73,25,18,0,24.000,14.78,1.143,6.32,5.63,3.05,0
129,2020.03,2029983.974551,399999.194082,999987.165906,0.0,0.200755,7,44,20,12,71,22,16,0,31.818,14.76,1.143,6.14,4.46,4.24,0
130,2020.83,2023894.073505,399999.180231,999987.078484,0.0,0.202061,5,38,20,12,70,26,19,0,19.231,14.53,1.143,6.60,5.04,4.14,0
131,2019.07,2017822.432376,399999.237174,999987.003063,0.0,0.203356,5,43,20,14,71,31,22,1,16.129,14.65,1.143,7.04,4.44,3.81,0
132,2019.93,2011769.005533,399999.244004,999986.898024,0.0,0.204631,6,40,20,16,70,28,20,1,21.429,14.32,1.143,6.46,5.78,3.11,0
133,2023.67,2005733.742114,399999.112925,999986.809931,0.0,0.205906,5,38,21,17,69,22,16,0,22.727,14.44,1.143,6.52,5.17,2.86,0
134,2026.31,1999716.573632,399999.200302,999986.762599,0.0,0.207145,6,41,21,16,71,37,27,1,16.216,14.40,1.143,6.05,4.43,4.17,0
135,2028.94,1993717.454306,399999.038912,999986.696132,0.0,0.208395,6,46,21,12,71,30,21,1,20.000,14.61,1.143,7.56,4.52,4.34,0
136,2031.12,1987736.347863,399999.06913,999986.626216,0.0,0.209682,6,44,21,15,70,26,18,1,23.077,14.77,1.143,7.38,5.74,3.84,0
137,2030.19,1981773.196687,399998.954832,999986.552469,0.0,0.210975,5,40,20,15,72,35,25,1,14.286,14.81,1.143,6.38,4.73,4.08,0
138,2033.81,1975827.892825,399999.016683,999986.484835,0.0,0.212201,5,39,21,16,73,34,24,1,14.706,14.65,1.143,6.18,6.75,4.06,0
139,2036.77,1969900.437573,399998.926467,999986.315076,0.0,0.213485,6,43,21,12,73,30,21,1,20.000,14.35,1.143,6.24,5.67,3.51,0
140,2036.21,1963990.755143,399998.997522,999986.248384,0.0,0.214708,6,42,20,14,74,34,24,1,17.647,14.40,1.143,6.65,4.84,4.43,0
141,2037.40,1958098.808746,399998.708642,999986.11628,0.0,0.215968,6,42,20,15,74,33,24,1,18.182,14.55,1.143,7.19,5.76,3.38,0
142,2040.49,1952224.542291,399998.665352,999986.030656,0.0,0.217244,4,40,21,16,74,32,23,1,12.500,14.60,1.143,6.26,6.28,4.05,0
143,2043.36,1946367.891453,399998.766768,999985.910386,0.0,0.21846,6,45,21,12,75,36,26,1,16.667,14.52,1.143,6.46,6.89,3.82,0
144,2040.17,1940528.81852,399998.757952,999985.771434,0.0,0.219674,7,44,21,16,76,36,26,1,19.444,14.24,1.143,6.79,5.35,4.28,0
145,2043.87,1934707.264543,399998.613648,999985.637906,0.0,0.220936,5,44,21,11,75,24,17,0,20.833,14.36,1.143,7.94,4.90,4.48,0
146,2043.34,1928903.181362,399998.50448,999985.563511,0.0,0.222199,4,40,20,13,75,30,21,1,13.333,14.49,1.143,7.15,5.49,3.83,0
147,2045.93,1923116.507193,399998.599055,999985.457473,0.0,0.223463,6,45,21,12,74,25,18,0,24.000,14.65,1.143,6.31,6.04,3.32,0
148,2043.98,1917347.181878,399998.546586,999985.393055,0.0,0.22468,6,45,20,15,74,32,23,1,18.750,14.36,1.143,6.65,4.94,4.32,0
149,2043.75,1911595.177814,399998.470078,999985.25903,0.0,0.22588,6,44,20,14,74,31,22,1,19.355,14.25,1.143,7.29,4.42,3.86,0
150,2039.67,1905860.419946,399998.454638,999985.180041,0.0,0.22713,5,42,21,12,74,33,24,1,15.152,14.15,1.143,7.05,5.57,3.12,0
151,2037.06,1900142.872624,399998.354294,999985.086705,0.0,0.228345,6,44,21,12,73,29,21,1,20.690,14.44,1.143,7.11,6.20,4.22,0
152,2034.08,1894442.478394,399998.247177,999984.933473,0.0,0.229579,5,41,21,14,73,30,21,1,16.667,14.60,1.143,7.39,4.92,2.93,0
153,2034.27,1888759.181613,399998.275207,999984.827484,0.0,0.230759,5,38,20,12,72,28,20,1,17.857,14.41,1.143,6.66,6.36,4.04,0
154,2035.73,1883092.927957,399998.209724,999984.741638,0.0,0.23197,5,44,20,17,73,35,25,1,14.286,14.19,1.143,6.64,6.92,3.74,0
155,2031.71,1877443.673808,399998.261372,999984.679003,0.0,0.233174,5,44,21,13,74,35,25,1,14.286,14.10,1.143,7.13,4.53,4.68,0
156,2032.65,1871811.398172,399998.253398,999984.602316,0.0,0.234404,6,40,20,13,73,25,18,0,24.000,14.11,1.143,7.63,6.82,3.30,0
157,2036.17,1866195.990629,399998.195914,999984.479981,0.0,0.235611,4,39,21,13,72,27,19,1,14.815,14.38,1.143,6.30,6.04,4.46,0
158,2036.32,1860597.428978,399998.123706,999984.424641,0.0,0.236765,5,43,20,16,71,29,21,1,17.241,14.36,1.143,8.03,5.97,3.42,0
159,2036.45,1855015.661179,399998.058584,999984.316094,0.0,0.237936,6,39,20,16,70,29,21,1,20.690,14.40,1.143,7.68,5.84,3.16,0
160,2037.29,1849450.642394,399998.066956,999984.186718,0.0,0.239131,7,44,20,11,71,31,22,1,22.581,14.55,1.143,6.10,6.70,3.15,0
161,2038.70,1843902.315425,399998.006759,999984.101971,0.0,0.24034,5,43,20,16,70,25,18,0,20.000,14.58,1.143,7.75,4.83,3.29,0
162,2036.42,1838370.638192,399997.988744,999984.053948,0.0,0.241529,4,39,21,11,71,32,23,1,12.500,14.71,1.143,6.79,4.44,3.73,0
163,2037.09,1832855.562212,399997.970635,999983.935694,0.0,0.242706,6,38,20,13,71,32,23,1,18.750,14.64,1.143,6.26,6.51,3.80,0
164,2040.95,1827357.035563,399997.881602,999983.860967,0.0,0.243924,5,42,21,11,70,29,21,1,17.241,14.72,1.143,6.49,5.56,2.90,0
165,2038.36,1821874.980236,399997.839157,999983.821884,0.0,0.245056,6,38,21,15,70,29,21,1,20.690,14.64,1.143,7.03,6.59,3.13,0
166,2037.97,1816409.373049,399997.927639,999983.751092,0.0,0.246191,5,39,20,14,71,32,23,1,15.625,14.54,1.143,6.17,5.47,3.99,0
167,2039.37,1810960.176386,399997.843286,999983.691686,0.0,0.247314,6,40,20,16,70,23,16,0,26.087,14.33,1.143,7.77,4.80,3.35,0
168,2038.32,1805527.316861,399997.841181,999983.599638,0.0,0.248456,4,40,20,15,70,28,20,1,14.286,14.40,1.143,6.76,6.08,4.33,0
169,2035.27,1800110.772119,399997.81479,999983.453736,0.0,0.249622,5,43,21,11,72,34,24,1,14.706,14.28,1.143,6.78,6.90,3.98,0
170,2036.97,1794710.46035,399997.627033,999983.362013,0.0,0.250759,5,44,20,16,73,34,24,1,14.706,14.47,1.143,7.58,6.95,4.09,0
171,2040.43,1789326.368396,399997.66873,999983.183322,0.0,0.25195,6,42,21,16,72,24,17,0,25.000,14.61,1.143,6.75,7.14,4.41,0
172,2042.51,1783958.42232,399997.697429,999983.088025,0.0,0.253082,5,42,20,12,72,33,24,1,15.152,14.41,1.143,7.48,6.73,2.85,0
173,2045.62,1778606.583851,399997.669891,999983.054586,0.0,0.2542,4,39,21,14,72,32,23,1,12.500,14.17,1.143,7.01,6.40,3.74,0
