step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,liquidations,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
87,2018.20,2303010.666586,399997.658265,999983.258822,0.0,0.149486,7,43,27,18,85,28,20,1,25.000,16.51,1.143,6.75,4.85,3.61,0
88,2018.79,2296101.665294,399997.492051,999983.030194,0.0,0.150989,7,43,25,19,85,34,24,1,20.588,16.80,1.143,6.07,4.84,3.21,0
89,2020.45,2289213.422004,399997.542882,999982.739161,0.0,0.152514,7,48,26,16,85,37,27,1,18.919,16.85,1.143,8.12,4.85,4.47,0
90,2021.72,2282345.83063,399997.430669,999982.599025,0.0,0.15401,6,44,25,17,83,26,18,1,23.077,16.78,1.143,7.06,7.16,4.54,0
91,2022.56,2275498.869858,399997.420209,999982.483949,0.0,0.155536,7,50,25,16,81,27,19,1,25.926,17.03,1.143,6.62,6.31,4.05,0
92,2026.17,2268672.414296,399997.280465,999982.283917,0.0,0.15708,7,50,26,16,82,37,26,1,18.919,16.84,1.143,6.31,4.62,3.03,0
93,2028.70,2261866.429139,399997.174451,999982.109454,0.0,0.158524,7,45,26,17,85,45,32,1,15.556,16.72,1.143,6.20,5.74,3.38,0
94,2032.54,2255080.866331,399997.18997,999981.891297,0.0,0.159999,8,47,27,19,83,29,21,1,27.586,17.00,1.143,6.69,5.31,4.55,0
95,2035.63,2248315.678448,399997.09545,999981.630418,0.0,0.161464,8,47,26,17,81,29,21,1,27.586,17.14,1.143,7.23,5.66,3.54,0
96,2035.45,2241570.767983,399996.891766,999981.440791,0.0,0.162894,8,51,25,18,79,26,19,0,30.769,17.01,1.143,8.00,5.24,3.36,0
97,2034.63,2234846.105267,399996.832037,999981.251564,0.0,0.164331,8,48,25,14,80,36,26,1,22.222,16.78,1.143,6.58,4.57,4.07,0
98,2032.49,2228141.600157,399996.645855,999980.970949,0.0,0.165807,8,50,26,21,83,43,31,1,18.605,16.63,1.143,6.53,5.76,3.18,0
