step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,marginPoolBalance,stepMarginPoolInflow,stepMarginPoolOutflow,marginPoolInflow,marginPoolOutflow,stepMakerFeesCollected,stepTakerFeesCollected,makerFeeBpsEffective,takerFeeBpsEffective,stepProtocolLiquidationIncome,protocolLiquidationIncome,stepInsuranceFundInflow,stepFundingFeesTransferred,liquidationRemainingMarginAvg,liquidationRemainingMarginMin,liquidationRemainingMarginMax,liquidationRemainingMarginPctAvg,liquidationRemainingMarginPctMin,liquidationRemainingMarginPctMax,isInsolvent
47,2126.80,482261.0,84525.792,19390.280041,0.0,408.2505,136.0835,272.167,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.295,82.06,49.00,32.00,64727.261459,0.0,0.0,0.0,20261.463041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
48,2124.84,507293.0,84525.792,19390.280041,0.0,427.0245,142.3415,284.683,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,1,17,0,6,2,4,0.000,4.64,1.279,9.25,5.00,3.00,64708.487459,0.0,18.774,0.0,20280.237041,6.258,12.516,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
49,2112.65,507293.0,84525.792,19390.280041,0.0,427.0245,142.3415,284.683,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.279,57.38,34.00,22.00,64708.487459,0.0,0.0,0.0,20280.237041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
50,2100.66,507293.0,84525.792,19390.280041,0.0,427.0245,142.3415,284.683,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.279,56.75,34.00,22.00,64708.487459,0.0,0.0,0.0,20280.237041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
51,2101.54,513169.0,84525.792,19390.280041,0.0,431.4315,143.8105,287.621,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,1,17,0,6,2,4,0.000,4.97,1.275,4.20,2.00,1.00,64704.080459,0.0,4.407,0.0,20284.644041,1.469,2.938,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
52,2112.58,513169.0,84525.792,19390.280041,0.0,431.4315,143.8105,287.621,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.275,52.52,31.00,21.00,64704.080459,0.0,0.0,0.0,20284.644041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
53,2102.71,513169.0,84525.792,19390.280041,0.0,431.4315,143.8105,287.621,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.275,46.69,28.00,18.00,64704.080459,0.0,0.0,0.0,20284.644041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
54,2082.26,513169.0,84525.792,19390.280041,0.0,431.4315,143.8105,287.621,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.275,97.29,58.00,38.00,64704.080459,0.0,0.0,0.0,20284.644041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
55,2100.04,518481.0,84525.792,19390.280041,0.0,435.4155,145.1385,290.277,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,1,17,0,6,2,4,0.000,4.48,1.272,85.39,51.00,34.00,64700.096459,0.0,3.984,0.0,20288.628041,1.328,2.656,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
56,2096.77,518481.0,84525.792,19390.280041,0.0,435.4155,145.1385,290.277,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.272,15.59,9.00,6.00,64700.096459,0.0,0.0,0.0,20288.628041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
57,2116.53,518481.0,84525.792,19390.280041,0.0,435.4155,145.1385,290.277,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.272,94.28,56.00,37.00,64700.096459,0.0,0.0,0.0,20288.628041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
58,2098.55,521453.0,84525.792,19390.280041,0.0,437.6445,145.8815,291.763,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,1,17,0,6,2,4,0.000,11.29,1.270,84.98,50.00,33.00,64697.867459,0.0,2.229,0.0,20290.857041,0.743,1.486,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
59,2074.00,527381.0,84525.792,19390.280041,0.0,442.0905,147.3635,294.727,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,1,17,0,6,2,4,0.000,14.58,1.267,116.95,70.00,46.00,64693.421459,0.0,4.446,0.0,20295.303041,1.482,2.964,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
60,2058.34,527381.0,84525.792,19390.280041,0.0,442.0905,147.3635,294.727,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,0,17,0,6,0,6,0.000,10.00,1.267,75.52,45.00,30.00,64693.421459,0.0,0.0,0.0,20295.303041,0.0,0.0,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
61,2071.05,528087.0,84525.792,19390.280041,0.0,442.62,147.54,295.08,0.0,414.932,223.81129,414.932,0,0,474.208,889.14,0.0,0,1,17,0,6,2,4,0.000,12.12,1.266,61.73,37.00,24.00,64692.891959,0.0,0.5295,0.0,20295.832541,0.1765,0.353,5.0000,10.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0
