step,positionId,trader,positionSize,penaltyCollected,rewardPaid,marginReturned,marginLost,insuranceInflow,insuranceOutflow,badDebt
11,41,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,2517.0,37.755,20.136,4001.206205,57.891,37.755,0.0,0.0
11,45,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,4209.0,63.135,33.672,4888.465507,96.807,63.135,0.0,0.0
11,49,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,2261.0,33.915,18.088,4827.411781,52.003,33.915,0.0,0.0
12,51,0x976EA74026E726554dB657fA54763abd0C3a0aa9,12944.0,194.16,103.552,4231.802348,297.712,194.16,0.0,0.0
12,55,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,3373.0,50.595,26.984,4802.317721,77.579,50.595,0.0,0.0
12,53,0xBcd4042DE499D14e55001CcbB24a551F3b954096,3603.0,54.045,28.824,4288.235962,82.869,54.045,0.0,0.0
13,61,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,2793.0,41.895,22.344,4732.835214,64.239,41.895,0.0,0.0
13,59,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,3804.0,57.06,30.432,4638.201681,87.492,57.06,0.0,0.0
13,57,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,2257.0,33.855,18.056,4768.659047,51.911,33.855,0.0,0.0
14,63,0x90F79bf6EB2c4f870365E785982E1f101E93b906,1476.0,22.14,11.808,4386.012397,33.948,22.14,0.0,0.0
14,65,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,1863.0,27.945,14.904,4405.019134,42.849,27.945,0.0,0.0
15,64,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,1863.0,27.945,14.904,4749.56475,42.849,27.945,0.0,0.0
15,66,0xFABB0ac9d68B0B445fB7357272Ff202C5651694a,3818.0,57.27,30.544,4793.552688,87.814,57.27,0.0,0.0
15,62,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,1476.0,22.14,11.808,4733.981065,33.948,22.14,0.0,0.0
15,68,0xbDA5747bFD65F08deb54cb465eB87D40e51B197E,909.0,13.635,7.272,4819.896335,20.907,13.635,0.0,0.0
16,74,0x976EA74026E726554dB657fA54763abd0C3a0aa9,2038.0,30.57,16.304,4182.673039,46.874,30.57,0.0,0.0
