step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
56,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
57,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
58,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
59,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
60,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
61,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
62,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
63,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
64,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
65,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
66,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
67,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
68,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
69,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
70,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
71,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
72,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
73,2000.00,0.0,90000.0,88647.4215,0.0,364.7455,52.1065,104.213,0.0,88647.4215,0.0,0,0,104.213,208.426,0.0,0,0,0,0,6,0,6,0.000,7.91,0.000,0.00,0.00,0.00,0
