step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
47,2020.96,2597102.62653,391552.449218,978870.143158,0.0,10027.316598,3760.24371,6267.072866,76512.436656,28392.894242,49522.751084,6,11,1773.12142,3324.602681,216542.456091,44,21,14,73,32,23,1,18.750,14.80,1.143,6.11,6.38,3.28,0
48,2020.65,2589311.35787,391031.027309,977566.319362,0.0,10210.25093,3828.844084,6381.406823,77992.042795,28896.297838,51329.978476,4,8,1797.690894,3370.670445,219543.003174,39,20,15,73,31,22,1,12.903,14.89,1.143,7.49,4.43,4.30,0
49,2018.72,2581543.458286,390629.347927,976561.970664,0.0,10388.778148,3895.79179,6492.986334,79467.210105,29411.319075,52849.348411,6,10,1834.332596,3439.373636,224017.871065,39,20,11,73,31,22,1,19.355,14.62,1.143,7.41,4.70,4.09,0
50,2016.81,2573798.855629,390069.024327,975161.347937,0.0,10540.972864,3952.864808,6588.108031,80937.951937,29841.496823,54680.148886,5,9,1860.834439,3489.064593,227254.408731,38,20,15,71,22,16,0,22.727,14.36,1.143,6.95,4.88,3.38,0
51,2016.95,2566077.485831,390177.173289,975431.496008,0.0,10694.940682,4010.60274,6684.337917,82404.281516,30286.068239,54854.572231,6,10,1892.648769,3548.716463,231139.733875,41,20,15,70,25,18,0,24.000,14.52,1.143,7.81,5.51,3.52,0
52,2018.71,2558379.275905,390340.996785,975841.096154,0.0,10836.774577,4063.79045,6772.984101,83866.212108,30695.668385,54854.572231,6,11,1921.990319,3603.73187,234723.070745,45,20,14,71,30,21,1,20.000,14.50,1.143,6.64,6.35,2.76,0
53,2017.14,2550704.169037,390517.165536,976281.743784,0.0,10989.630271,4121.111335,6868.518909,85323.756897,31136.316015,54854.572231,6,11,1953.194796,3662.240265,238533.917553,45,20,17,70,24,17,0,25.000,14.70,1.143,7.49,6.42,3.92,0
54,2013.87,2543052.090823,390219.018698,975536.265729,0.0,11221.312355,4207.992116,7013.320212,86776.929052,31787.029517,56250.763788,5,9,1991.33255,3733.748554,243191.490825,38,21,14,70,28,20,1,17.857,14.46,1.143,7.25,5.57,4.00,0
55,2016.74,2535422.964324,390062.296265,975144.58368,0.0,11470.88758,4301.582825,7169.304727,88225.741666,32487.614354,57343.030674,5,9,2032.210829,3810.395328,248183.750747,38,21,15,71,31,22,1,16.129,14.54,1.143,6.02,7.20,2.87,0
56,2016.21,2527816.7455,388821.506726,972042.698278,0.0,11708.912995,4390.842355,7318.070611,89670.207789,33174.441394,61131.743116,6,10,2081.151362,3902.158828,254160.613405,40,20,16,70,29,21,1,20.690,14.59,1.143,7.78,6.32,3.08,0
57,2019.38,2520233.334306,387985.139938,969951.860222,0.0,11937.434897,4476.538068,7460.896799,91110.34049,33814.90336,63863.043138,5,9,2118.035207,3971.316038,258665.053073,41,21,16,71,33,24,1,15.152,14.75,1.143,6.34,6.00,3.35,0
58,2016.52,2512672.656425,387514.306198,968774.819043,0.0,12106.320263,4539.87008,7566.450153,92546.152805,34299.591325,65524.772282,6,11,2151.354966,4033.790587,262734.228707,45,21,15,70,29,21,1,20.690,14.48,1.143,6.99,6.75,3.55,0
59,2012.59,2505134.662128,387292.934629,968221.281658,0.0,12322.261334,4620.847981,7701.413322,93977.657689,34918.425257,66697.143599,6,11,2193.478301,4112.771841,267878.541102,42,21,15,72,34,24,1,17.647,14.65,1.143,7.84,6.33,4.30,0
60,2010.06,2497619.293239,387481.510524,968692.407178,0.0,12486.410175,4682.403796,7804.006347,95404.868046,35389.550777,66697.143599,6,10,2225.880123,4173.525258,271835.613693,39,21,15,70,22,16,0,27.273,14.47,1.143,6.08,4.81,3.69,0
61,2012.13,2490126.465245,387546.810398,968855.939681,0.0,12659.099181,4747.162173,7911.936975,96827.7968,35878.18138,67022.241699,5,9,2256.231103,4230.433346,275542.22716,37,20,17,72,34,24,1,14.706,14.22,1.143,6.73,6.86,4.07,0
62,2011.54,2482656.127128,387826.517256,969555.031443,0.0,12912.227358,4842.085239,8070.142085,98246.456752,36577.273142,67022.241699,4,8,2291.575806,4296.704665,279858.699128,38,20,15,70,22,16,0,18.182,14.32,1.143,6.85,6.55,3.06,0
63,2013.40,2475208.17882,387153.912285,967873.835534,0.0,13048.439637,4893.164843,8155.274759,99660.860713,36971.191708,69097.356174,6,10,2320.049334,4350.092531,283336.028847,38,20,15,71,31,22,1,19.355,14.35,1.143,6.24,7.17,4.21,0
64,2012.83,2467782.606136,387233.798232,968073.573046,0.0,13293.572501,4985.089667,8308.482799,101071.021493,37665.346843,69591.773797,5,9,2363.421587,4431.415506,288632.865292,40,20,13,72,35,25,1,14.286,14.13,1.143,7.64,7.03,3.22,0
65,2009.45,2460379.296636,386743.990618,966848.7824,0.0,13491.85605,5059.445998,8432.410017,102476.951776,38211.260671,71362.478271,4,8,2390.197562,4481.62046,291902.881357,38,21,16,70,22,16,0,18.182,14.11,1.143,7.92,5.14,4.42,0
66,2008.36,2452998.200201,387039.93046,967588.720122,0.0,13747.209825,5155.203663,8592.006126,103878.66431,38951.198393,71362.478271,6,11,2444.359313,4583.173744,298517.385319,42,20,11,69,21,15,0,28.571,14.14,1.143,6.46,7.06,4.22,0
67,2012.19,2445639.245721,386558.695644,966385.612716,0.0,13990.384573,5246.394193,8743.990343,105276.171684,39635.720297,73250.107581,5,10,2485.204664,4659.758778,303505.623883,43,21,14,70,32,23,1,15.625,14.18,1.143,6.26,5.05,3.36,0
